Ut Ayeyarwaddy Travel & Tour Company Limited|ယူတီ ဧရာဝတီ ထရပ်ဗဲလ် အဲန်တိုး  ကုမ္ပဏီ လီမိတက်|806/2017-2018(npw)|05-07-2022||
Shwe Mar Win International Travels & Tours Company Limited|ရွှေမာဝင်း အပြည်ပြည်ဆိုင်ရာ ခရီးသွားလာရေး ကုမ္ပဏီ လီမိတက်|2263/2017-2018(ygn)|02-08-2022||
Make My Trip Travel & Tours Company Limited|မိက်မိုင်ထရစ်(ဒ်)ထရားဗဲ(လ်)အန်တိုး(စ်) ကုမ္ပဏီ လီမိတက်|1608/2017-2018(ygn)|27-06-2022||
Pan Asia Way Travel & Tour Company Limited12|ပန်အာရှဝေး ခရီးသွား ကုမ္ပဏီလီမိတက်|2171/2017-2018(ygn)|26-07-2022||
Asian Trails Tours Limited|အေးရှန်းထရေး(စ်)တိုးလီမိတက်|31fc/1999-2000|09-09-2004||
Traventure Travel And Tour Co., Ltd.|ထရာဗန်ချာထရာဘယ်လ်အန်တိုး ကုမ္ပဏီလီမိတက်|766/2017-2018(ygn)|17-05-2022||
Thousand Sceneries Tour Co., Ltd.|ရှုခင်းတစ်ထောင် ခရီးသွားလုပ်ငန်း ကုမ္ပဏီလီမိတက်|782/2017-2018(ygn)|17-05-2022||
Thanbula Travels & Tours Company Limited.|သမ္ဘူလ ခရီးသွားလာရေး ကုမ္ပဏီလီမိတက်|3826/2012-2013|13-12-2020||
Mae Nal Taung Travels & Tours Company  Limited|မဲနယ်တောင်ခရီးသွား ကုမ္ပဏီ လီမိတက်|2054/2017-2018(ygn)|20-07-2022||
Ut Mawlamyine Travel & Tour Company Limited.|ယူတီ မော်လမြိုင် ထရပ်ဗဲလ် အဲန်တိုး ကုမ္ပဏီလီမိတက်|684/2017-2018(npw)|26-06-2022||
Cho Mawlamyine Travel & Tour  Company Limited.|ချို မော်လမြိုင်  ထရပ်ဗဲလ် အဲန် တိုး ကုမ္ပဏီလီမိတက်|680/2017-2018(npw)|26-06-2022||
Ut Mandalay Travel & Tour Company Limited.|မန္တလေး ထရပ်ဗဲလ် အဲန် တိုး ကုမ္ပဏီ လီမိတက်|673/2017-2018(npw)|26-06-2022||
Ut Lashio Travel & Tour  Company Limited.//|ယူတီ လားရှိုး ထရပ်ဗဲလ် အဲန်တိုး ကုမ္ပဏီလီမိတက်//|668/2017-2018(npw)|26-06-2022||
Journry Life Tourism Service Company Limited|ခရီးသွားကာလ ခရီးသွားဝန်​ဆောင်မှုလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|1936/2017-2018(ygn)|13-07-2022||
Go Andaman Travel And Tours Company Limited|ဂိုးအန်ဒမန် ထရာဗဲလ် အင် တိုးစ် ကုမ္ပဏီ လီမိတက်|1886/2017-2018(ygn)|11-07-2022||
Bodhi Parami Travels & Tours Company Limited|ဗောဓိ ပါရမီ ထရားဗဲလ် အင်န်တိုး(စ်) ကုမ္ပဏီ လီမိတက်|1806/2017-2018(ygn)|09-07-2022||
(fsf)four Stars Family Travels & Tours Company Limited|(အက်(ဖ်)အက်(စ်)အက်(ဖ်)) ကြယ်လေးပွင့် မိသားစု ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|1802/2017-2018(ygn)|09-07-2022||
Explorer Of Mergui & Myanmar Travels & Tours Company  Limited|အိပ်ပလိုရာ အော့(ဖ်) မာဂွီး အင် မြန်မာ ထရာဗဲ(လ်)(စ်) အန် တိုး(စ်) ကုမ္ပဏီ လီမိတက်|2039/2017-2018(ygn)|19-07-2022||
Myanmar Big Lion King International Travels& Tours Company Limited|မြန်မာ ခြင်္သေ့ကြီးမင်း အပြည်ပြည်ဆိုင်ရာ ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|1963/2017-2018(ygn)|16-07-2022||
Mr.bike (hsipaw) Travels & Tours Company Limited|မစ္စတာ-ဗိုက်(သီပေါ) ခရီးသွားလာရေး ကုမ္ပဏီ လီမိတက်|1967/2017-2018(ygn)|16-07-2022||
Trip Moodmyanmar Travels & Tours Company Limited|ခရီးသွားချင်စိတ် မြန်မာ ခရီးသွား ကုမ္ပဏီ လီမိတက်|1113/2017-2018(ygn)|04-06-2022||
Moe Chel Travel & Tours Company Limited|မိုးခြယ် ခရီးသွားလုပ်ငန်း ကုမ္ပဏီလီမိတက်|1505/2017-2018(ygn)|22-06-2022||
Inn Shan Lay Travels & Tours Company Limited|အင်းရှမ်းလေးခရီးသွားလာရေးကုမ္ပဏီလီမိတက်|1131/2017-2018(ygn)|05-06-2022||
Miss & Mister Tourism And Culture Universe Company Limited|မစ်စ် အင်န် မစ္စတာတိုးရစ်ဇင် အဲင်န် ကာလ်ချာ ယူနီဗာ့စ် ကုမ္ပဏီ လီမိတက်|1214/2017-2018(ygn)|11-06-2022||
Myanmar Pilgrimage Travel And Tour Company Limited|မြန်မာ ဘုရားဖူး ခရီးသွား ကုမ္ပဏီလီမိတက်|1246/2017-2018(ygn)|12-06-2022||
Happy Trails Travels & Tours  Company Limited|ဟက်ပီး ထရေး(လ်)ထရာဗယ်(စ်) အန်တိုး(စ်)ကုမ္ပဏီ လီမိတက်|1338/2017-2018(ygn)|15-06-2022||
Nature Impression Of Myanmar Travels & Tours Company Limited|မြန်မာ့သဘာ၀အမြင်ခရီးသွားလားရေးကုမ္ပဏီလီမိတက်|1299/2017-2018(ygn)|14-06-2022||
Golden Lumbini Inkyin Travel & Tours Company Limited|ရွှေလုမ္ဗိနီအင်ကြင်းခရီးသွားလုပ်ငန်းကုမ္ပဏီလီမိတက်|1270/2017-2018(ygn)|13-06-2022||
Hi Welcome Travel & Tours Company Limited|ဟိုင်း ဝဲ(လ်)ကမ်း(မ်) ထရားဗဲ(လ်စ်) အင်(န်) တိုး(စ်) ကုမ္ပဏီ လီမိတက်|1397/2017-2018(ygn)|19-06-2022||
Welcome Home Travels And Tours Company Limited|ဝဲလ်ကမ်း ဟုမ်းမ် ထရဲဗဲလ်စ် အဲန်ဒ် တိုးစ် ကုမ္ပဏီ လီမိတက်|1463/2017-2018(ygn)|21-06-2022||
Great Golden Star Travels & Tours Company Limited|ကြီးမားသော ရွှေကြယ်ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|2547/2010-2011|13-03-2018||
Dynamic Myanmar Travels & Tours Company Limited.|လှုပ်ရှားတက်ကြွသော မြန်မာ ခရီးသွားလာရေး ကုမ္ပဏီ လီမိတက်|1763/ 2010-2011|09-12-2015||
New Tourney Company Limited|ခရီးသစ်ကုမ္ပဏီလီမိတက်|246/2017-2018(npw)|14-05-2022||
Myanmar Road Expert Travel & Tour Company Limited|မြန်မာရု(ဒ်)အိပ်စ်ပတ် ထရားဗယ် အင်န်တိုး ကုမ္ပဏီ လီမိတက်|967/2017-2018(ygn)|28-05-2022||
Myan Zhong Tourism Cooperative And Exchange Center Company Limited|မြန်ကျုံးခရီးသွားပူးပေါင်းဆောင်ရွက်ရေးနှင့်နှီးနှောဖလှယ်ရေးစင်တာ ကုမ္ပဏီ လီမိတက်|1054/2017-2018(ygn)|31-05-2022||
Asia Panda Travels & Tours Company Limited|အာရှဝက်ဝံခရီးသွားလုပ်ငန်းကုမ္ပဏီလီမိတက်|608/2017-2018(ygn)|10-05-2022||
Global Air & Sea Travels & Tours Conpany Limited|ဂလိုဘယ်(လ်)အဲအဲန်စီးထရာဗဲ(လ်စ်)အဲန်တိုး(စ်)ကုမ္ပဏီလီမိတက်|985/2017-2018(ygn)|28-05-2022||
City Centre Travel And Tours Company Limited|စီတီးစင်တာထရပ်ဗားအင်တိုးစ်ကုမ္ပဏီလီမိတက်|760/2017-2018(ygn)|16-05-2022||
Peace House Tours And Travel Limited|ပိ(စ်)ဟောက်(စ်)တိုး(စ်)အင်(န်)ထရားဗဲ(လ်) လီမိတက်|135/1995-1996|30-06-2018||
Ace Eagle Travels And Tours Company Limited|အေ့စ်အီးဂဲလ်ထရယ်ဗယ်လ်အန်(န်)တိုးကုမ္ပဏီလီမိတက်|846/2017-2018(ygn)|21-05-2022||
